Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier
-2352.306640625,-3771091.0,24.0,0.0,1.4189608097076416,0.22145000100135803,1.0,1.0005985498428345,1.0005985498428345,1.0005985498428345,0.027171671390533447,0.0003000000142492354,1.0000234842300415,10000.0,0.004323046654462814,0.004323046654462814,-0.06973208487033844,1995620745216.0,1995620745216.0,-0.6731295585632324,1998297759744.0,1998297759744.0,-0.25204864144325256,84.38329315185547,82.19744110107422,2.1828598976135254,84.38030242919922,118.51107788085938,0.0
-2310.197265625,-3742059.5,24.0,1.0,1.4188131093978882,0.14344681799411774,1.0,0.9996346235275269,0.9996346235275269,0.9996346235275269,0.02125074900686741,0.0003000000142492354,0.9998767971992493,20000.0,-0.0010129010770469904,-0.005335947731509805,0.40059545636177063,1997433733120.0,1812987904.0,2.2515788078308105,2000129359872.0,1831600128.0,-3.282137870788574,169.2389373779297,82.9457015991211,1.8156154155731201,84.76131439208984,117.97834777832031,0.0
-2334.184814453125,-3708371.5,24.0,2.0,1.4186636209487915,0.18665438890457153,1.0,0.9945292472839355,0.9945292472839355,0.9945292472839355,0.029456933960318565,0.0003000000142492354,0.999728798866272,30000.0,0.0015843395376577973,0.0025972406147047877,-0.09103185683488846,1980321103872.0,-17112629248.0,5.423926830291748,1982961287168.0,-17168072704.0,-6.311415195465088,234.00054931640625,62.6038703918457,2.0842957496643066,64.68816375732422,154.58778381347656,0.0
-2380.656982421875,-3821289.25,24.0,3.0,1.418554425239563,0.1783602386713028,1.0,1.0050503015518188,1.0050503015518188,1.0050503015518188,0.023876234889030457,0.0003000000142492354,0.9996216893196106,40000.0,-0.001705079572275281,-0.0032894191099330783,0.0421159565448761,2004700364800.0,24379260928.0,8.230772018432617,2007388651520.0,24427364352.0,-8.81149673461914,296.5870361328125,60.74146270751953,1.7910544872283936,62.53251647949219,159.91680908203125,0.0
-2380.531005859375,-3743480.25,24.0,4.0,1.4185009002685547,0.18917173147201538,1.0,1.0038992166519165,1.0038992166519165,1.0038992166519165,0.03152335435152054,0.0003000000142492354,0.9995702505111694,50000.0,0.006585755385458469,0.00829083495773375,-0.18382805585861206,2004768260096.0,67895296.0,10.38762378692627,2007473848320.0,85196800.0,-10.686495780944824,359.40509033203125,60.997718811035156,1.7452800273895264,62.74300003051758,159.3803253173828,0.0
-2343.234619140625,-3777458.5,24.0,5.0,1.4183787107467651,0.13043972849845886,1.0,0.9951728582382202,0.9951728582382202,0.9951728582382202,0.022999677807092667,0.0003000000142492354,0.9994492530822754,60000.0,0.006651421543210745,6.566615775227547e-05,-0.1384306252002716,2017056915456.0,12288655360.0,11.778253555297852,2019771285504.0,12297437184.0,-11.955981254577637,422.20660400390625,60.87238311767578,1.87620210647583,62.74858474731445,159.3661346435547,0.0
-2328.366943359375,-3775720.0,24.0,6.0,1.418256163597107,0.18859785795211792,1.0,0.9932581186294556,0.9932581186294556,0.9932581186294556,0.03168080002069473,0.0003000000142492354,0.9993289709091187,70000.0,0.007069196552038193,0.0004177750088274479,-0.24536630511283875,1997922500608.0,-19134414848.0,13.073983192443848,2000620486656.0,-19150798848.0,-13.178923606872559,484.42755126953125,60.09197998046875,2.068777322769165,62.16075897216797,160.87319946289062,0.0
-2255.593505859375,-3754524.25,24.0,7.0,1.4181571006774902,0.18946391344070435,1.0,1.0048786401748657,1.0048786401748657,1.0048786401748657,0.04372403025627136,0.0003000000142492354,0.9992326498031616,80000.0,0.005071424879133701,-0.0019977716729044914,-0.11425548046827316,2014260756480.0,16338255872.0,14.084190368652344,2016955465728.0,16334979072.0,-14.154532432556152,556.02001953125,69.27023315429688,2.256866693496704,71.527099609375,139.80714416503906,0.0
-2216.032470703125,-3817372.25,24.0,8.0,1.4181053638458252,0.22160856425762177,1.0,0.9911226034164429,0.9911226034164429,0.9911226034164429,0.032053496688604355,0.0003000000142492354,0.9991837739944458,90000.0,-0.00127641879953444,-0.006347843678668141,-0.11982239782810211,2042386186240.0,28125429760.0,15.070821762084961,2045169500160.0,28214034432.0,-15.121112823486328,620.7366943359375,62.809814453125,1.827794075012207,64.63761138916016,154.7086944580078,0.0
-2383.718505859375,-3810312.25,24.0,9.0,1.4180227518081665,0.1739991158246994,1.0,1.0008530616760254,1.0008530616760254,1.0008530616760254,0.03274647891521454,0.0003000000142492354,0.999102771282196,100000.0,0.0024303458631038666,0.0037067646626383066,-0.2492811679840088,2001254481920.0,-41131704320.0,16.04680061340332,2004031373312.0,-41138126848.0,-16.064138412475586,683.52294921875,60.84757614135742,1.8806891441345215,62.72826385498047,159.4177703857422,0.0
