Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier
-2336.63525390625,-5462.76318359375,24.0,0.0,1.4187484979629517,0.151253342628479,1.0,0.9920164346694946,0.9920164346694946,0.9920164346694946,0.03684849292039871,0.0003000000142492354,0.9998111724853516,10000.0,0.00492429081350565,0.00492429081350565,0.17890557646751404,1366831.625,1366831.625,-0.7149534225463867,4183080.75,4183080.75,-0.3518950045108795,39.070106506347656,37.427181243896484,1.6415526866912842,39.0687370300293,255.95913696289062,0.0
-1931.5218505859375,-5460.56103515625,24.0,1.0,1.4186091423034668,0.08309187740087509,1.0,0.9962016344070435,0.9962016344070435,0.9962016344070435,0.018768714740872383,0.0003000000142492354,0.9996741414070129,20000.0,0.006300850305706263,0.001376559492200613,-0.21044212579727173,1768828.375,401996.75,1.6169724464416504,4182903.5,-177.25,-2.7172274589538574,81.33624267578125,40.74654006958008,1.4272935390472412,42.17383575439453,237.1138458251953,0.0
-1617.305908203125,-5489.2587890625,24.0,2.0,1.4181402921676636,0.061916906386613846,1.0,0.9959114193916321,0.9959114193916321,0.9959114193916321,0.01932627148926258,0.0003000000142492354,0.9992088079452515,30000.0,0.007706536445766687,0.0014056861400604248,0.3121684789657593,2151490.25,382661.875,4.247049808502197,4277781.0,94877.5,-5.285707473754883,119.97346496582031,37.19918441772461,1.3580052852630615,38.55718994140625,259.3550109863281,0.0
-1354.3089599609375,-5555.232421875,24.0,3.0,1.4176154136657715,0.05764956772327423,1.0,1.000998854637146,1.000998854637146,1.000998854637146,0.018889639526605606,0.0003000000142492354,0.9986872673034668,40000.0,0.0032907631248235703,-0.004415773320943117,-0.23273169994354248,2431247.0,279756.75,6.892826557159424,4257635.0,-20146.0,-7.680389881134033,162.42649841308594,40.27272033691406,2.092604637145996,42.365325927734375,236.04208374023438,0.0
-1109.8115234375,-5549.572265625,24.0,4.0,1.4172344207763672,0.0829465463757515,1.0,0.9985302686691284,0.9985302686691284,0.9985302686691284,0.019899234175682068,0.0003000000142492354,0.9983097314834595,50000.0,0.002564255613833666,-0.0007265075109899044,-0.25542205572128296,2580511.0,149264.0,9.015708923339844,4280340.5,22705.5,-9.45950984954834,215.83726501464844,51.247840881347656,2.053546190261841,53.30138397216797,187.6123809814453,0.0
-1044.4761962890625,-5493.51318359375,24.0,5.0,1.416954755783081,0.03987131267786026,1.0,0.9989591836929321,0.9989591836929321,0.9989591836929321,0.015425748191773891,0.0003000000142492354,0.9980335235595703,60000.0,0.00543864443898201,0.002874388825148344,0.35518795251846313,2800926.5,220415.5,10.659884452819824,4359793.5,79453.0,-10.8555908203125,269.2625732421875,51.39398956298828,1.9223918914794922,53.316383361816406,187.5596160888672,0.0
-1058.3721923828125,-5588.55126953125,24.0,6.0,1.4164851903915405,0.042085736989974976,1.0,1.0037126541137695,1.0037126541137695,1.0037126541137695,0.0185783039778471,0.0003000000142492354,0.9975680112838745,70000.0,0.004476023372262716,-0.0009626210667192936,-0.17974287271499634,2889278.75,88352.25,12.061461448669434,4384033.0,24239.5,-12.09475040435791,323.61492919921875,52.37965393066406,1.8778936862945557,54.257545471191406,184.30616760253906,0.0
-977.8842163085938,-5533.82861328125,24.0,7.0,1.41619074344635,0.04868113994598389,1.0,1.003447413444519,1.003447413444519,1.003447413444519,0.015821995213627815,0.0003000000142492354,0.9972782135009766,80000.0,0.0007988214492797852,-0.003677201922982931,-0.1922910511493683,2945171.5,55892.75,13.261725425720215,4336677.5,-47355.5,-13.197434425354004,377.4746398925781,51.87080001831055,1.882991075515747,53.75379180908203,186.03338623046875,0.0
-906.9244384765625,-5537.14501953125,24.0,8.0,1.4158375263214111,0.024902036413550377,1.0,0.9973791837692261,0.9973791837692261,0.9973791837692261,0.011361182667315006,0.0003000000142492354,0.9969285726547241,90000.0,0.016518861055374146,0.01572003960609436,-0.5458279848098755,3019171.25,73999.75,14.357894897460938,4316967.0,-19710.5,-14.21916675567627,432.6689758300781,53.15607452392578,1.931131362915039,55.08720779418945,181.5303497314453,0.0
-763.2103271484375,-5555.54052734375,24.0,9.0,1.415313482284546,0.03713920712471008,1.0,0.9991825222969055,0.9991825222969055,0.9991825222969055,0.013610195368528366,0.0003000000142492354,0.9964078068733215,100000.0,0.004169122315943241,-0.012349738739430904,-0.05557214468717575,3138943.75,119772.5,15.408007621765137,4367029.0,50062.0,-15.217296600341797,486.9860534667969,52.233341217041016,1.9851789474487305,54.21852111816406,184.43882751464844,0.0
-732.8309326171875,-5670.57958984375,24.0,10.0,1.4151437282562256,0.03309089317917824,1.0,0.9981399774551392,0.9981399774551392,0.9981399774551392,0.011883387342095375,0.0003000000142492354,0.9962413907051086,110000.0,0.005170969292521477,0.0010018469765782356,0.15382887423038483,3297191.5,158247.75,16.36254119873047,4434332.5,67303.5,-16.13661003112793,540.2009887695312,51.15101623535156,1.9378540515899658,53.088871002197266,188.3634033203125,0.0
-678.8350830078125,-5583.2724609375,24.0,11.0,1.4149563312530518,0.03367581218481064,1.0,0.9992730021476746,0.9992730021476746,0.9992730021476746,0.016809310764074326,0.0003000000142492354,0.9960576891899109,120000.0,0.006607583723962307,0.0014366144314408302,-0.19032016396522522,3274996.5,-22195.0,17.317869186401367,4377998.0,-56334.5,-17.053213119506836,593.2285766601562,50.75756072998047,2.1753575801849365,52.932918548583984,188.91835021972656,0.0
-673.7411499023438,-5572.90478515625,24.0,12.0,1.41468346118927,0.0404939278960228,1.0,1.0003989934921265,1.0003989934921265,1.0003989934921265,0.012438255362212658,0.0003000000142492354,0.9957882761955261,130000.0,0.0047292159870266914,-0.0018783677369356155,0.13325096666812897,3403132.75,128136.25,18.259485244750977,4479605.5,101607.5,-17.971391677856445,646.138916015625,50.870399475097656,1.927466630935669,52.79786682128906,189.40159606933594,0.0
-649.9312133789062,-5621.580078125,24.0,13.0,1.4146162271499634,0.048110902309417725,1.0,1.0025843381881714,1.0025843381881714,1.0025843381881714,0.01565147191286087,0.0003000000142492354,0.9957234263420105,140000.0,0.008232982829213142,0.003503766842186451,-0.5692301392555237,3382228.0,-20904.75,19.11408805847168,4439946.5,-39659.0,-18.810216903686523,699.2166137695312,51.057796478271484,1.9263489246368408,52.98414611816406,188.73570251464844,0.0
-626.8978271484375,-5648.47607421875,24.0,14.0,1.414280652999878,0.035085584968328476,1.0,0.9997599720954895,0.9997599720954895,0.9997599720954895,0.012689946219325066,0.0003000000142492354,0.9953931570053101,150000.0,0.0030068024061620235,-0.005226180423051119,0.3798653781414032,3524780.5,142552.5,19.969247817993164,4507559.5,67613.0,-19.64832305908203,753.52490234375,52.29453659057617,1.9147677421569824,54.20930480957031,184.47018432617188,0.0
-662.7955322265625,-5671.62744140625,24.0,15.0,1.4140194654464722,0.034886378794908524,1.0,1.0017650127410889,1.0017650127410889,1.0017650127410889,0.01324392855167389,0.0003000000142492354,0.9951393008232117,160000.0,0.008398165926337242,0.005391363520175219,0.3125549256801605,3506778.0,-18002.5,20.88058090209961,4468046.0,-39513.5,-20.540172576904297,806.97802734375,51.09632873535156,2.2531542778015137,53.349483489990234,187.4432373046875,0.0
-529.9835815429688,-5683.2880859375,24.0,16.0,1.4136357307434082,0.030413834378123283,1.0,0.9998243451118469,0.9998243451118469,0.9998243451118469,0.012657075189054012,0.0003000000142492354,0.9947652816772461,170000.0,0.008091224357485771,-0.00030694156885147095,-0.21698078513145447,3596335.25,89557.25,21.7431640625,4513391.5,45345.5,-21.39007568359375,860.6661987304688,51.6057243347168,1.973865032196045,53.57958984375,186.63824462890625,0.0
-540.0133056640625,-5708.005859375,24.0,17.0,1.4134304523468018,0.03626219183206558,1.0,0.9990406036376953,0.9990406036376953,0.9990406036376953,0.010046625509858131,0.0003000000142492354,0.9945670366287231,180000.0,0.010793205350637436,0.0027019809931516647,-0.1795051097869873,3605020.5,8685.25,22.587644577026367,4517770.5,4379.0,-22.221662521362305,914.0254516601562,51.26633071899414,1.9917845726013184,53.258113861083984,187.7648162841797,0.0
